profile_name,duration,start_recency_months,end_recency_months,job_level,company_change,cum_no_of_companies,level_up,lateral_movements,apparel_industry,company_size,company_age_years,headquaters
dulari-hansika,6,59,54,1,0,1,0,1,0,,,0
dulari-hansika,6,59,54,1,0,1,0,1,0,,,0
dulari-hansika,6,59,54,1,0,1,0,1,0,,,0
dulari-hansika,6,59,54,1,0,1,0,1,0,,,0
dulari-hansika,6,59,54,1,0,1,0,1,0,,,0
dulari-hansika,6,59,54,1,0,1,0,1,0,,,0
dulari-hansika,4,75,72,1,0,1,0,1,0,,,0
dulari-hansika,4,75,72,1,0,1,0,1,0,,,0
dulari-hansika,4,75,72,1,0,1,0,1,0,,,0
dulari-hansika,4,75,72,1,0,1,0,1,0,,,0
dulari-hansika,4,75,72,1,0,1,0,1,0,,,0
dulari-hansika,4,75,72,1,-1,1,-1,-1,0,,,0
